,#,target
227,AQN78768@H,1
228,AGV08390@H,1
229,AID50418@H,1
230,AJD81451@H,1
231,AJD81440@H,1
232,AQN78776@H,1
233,AHI48605@H,1
234,AGN70951@H,1
235,AGN70973@H,1
236,AIZ74417@H,1
237,AGN70929@H,1
238,AHI48517@H,1
239,AGV08444@H,1
240,AHB33326@H,1
241,AIZ74433@H,1
242,AIZ74439@H,1
243,AIZ74450@H,1
244,AGN70962@H,1
245,AGV08546@H,1
246,AGV08535@H,1
247,AGV08467@H,1
248,AGV08558@H,1
249,AGV08480@H,1
250,AGV08573@H,1
251,AGV08492@H,1
252,AGV08455@H,1
253,AHI48594@H,1
254,AHI48550@H,1
255,AHI48583@H,1
256,ASU45696@H,1
257,ASU45708@H,1
258,AHI48528@H,1
259,AHI48561@H,1
260,AHI48572@H,1
261,AHI48539@H,1
262,AHC74088@H,1
263,AHC74098@H,1
264,AKM76229@H,1
265,AHE78108@H,1
266,AHN10812@H,1
267,AIY60578@H,1
268,ASU45730@H,1
269,AKM76239@H,1
270,ALX27232@H,1
271,AIY60558@H,1
272,AIY60518@H,1
273,AID55068@H,1
274,AIY60528@H,1
275,AIY60538@H,1
276,ASU45741@H,1
277,ASU45752@H,1
278,ASU45719@H,1
279,AID55069@H,1
280,ASU45763@H,1
281,AIY60588@H,1
282,AID55070@H,1
283,ASU45774@H,1
284,AID55072@H,1
285,ASU45785@H,1
286,AIY60568@H,1
287,AIY60548@H,1
288,ASU45796@H,1
289,ALX27243@H,1
290,AID55071@H,1
291,AYV64549@H,1
292,AID55073@H,1
293,AKN24821@H,1
294,AHZ58501@H,1
295,AKN24812@H,1
296,AKN24803@H,1
297,AKN24830@H,1
298,AKN24767@H,1
299,AKN24758@H,1
300,AHZ64057@H,1
301,AKN24794@H,1
302,AKN24749@H,1
303,AKN24776@H,1
304,AKN24785@H,1
305,AYV64560@H,1
306,AYP10298@H,1
307,AIZ48760@H,1
308,AMQ48993@H,1
309,AVA26873@H,1
310,AKI29284@H,1
311,AQZ41285@H,1
312,APF29061@H,1
313,AKI29255@H,1
314,AKI29265@H,1
315,APF29062@H,1
316,AKI29275@H,1
317,APF29063@H,1
318,ALW82720@H,1
319,ALW82731@H,1
320,ALW82709@H,1
321,AQZ41311@H,1
322,ALW82680@H,1
323,ALW82636@H,1
324,AKK52582@H,1
325,AKK52602@H,1
326,ALW82753@H,1
327,ALW82742@H,1
328,ALW82691@H,1
329,ALW82647@H,1
330,AKK52592@H,1
331,AKK52612@H,1
332,ALW82669@H,1
333,AQZ41322@H,1
334,AQZ41332@H,1
335,ALW82658@H,1
336,AQZ41365@H,1
337,AKL59401@H,1
338,AQZ41376@H,1
339,QCQ29075@H,1
340,AZU90731@H,1
341,AKS48062@H,1
342,AQZ41343@H,1
343,AKJ80137@H,1
344,AQZ41354@H,1
345,ALB08267@H,1
346,ATY74381@H,1
347,ALB08289@H,1
348,ANC28656@H,1
349,ATY74403@H,1
350,ATY74392@H,1
351,AML60270@H,1
352,ANC28645@H,1
353,ALB08278@H,1
354,ATY74414@H,1
355,ANC28667@H,1
356,ANC28678@H,1
357,ALD51904@H,1
358,ALB08300@H,1
359,ALB08257@H,1
360,ALB08311@H,1
361,ANC28689@H,1
362,ALB08322@H,1
363,ANC28700@H,1
364,ALB08246@H,1
365,ANC28711@H,1
366,AMQ49015@H,1
367,AXN73393@H,1
368,AMQ49026@H,1
369,AMQ49037@H,1
370,AMQ49048@H,1
371,AMQ49070@H,1
372,AXN73426@H,1
373,AXN73437@H,1
374,AXN73415@H,1
375,AXN73404@H,1
376,ARQ84735@H,1
377,AXN73459@H,1
378,AYO86699@H,1
379,AXN73448@H,1
380,AMQ49059@H,1
381,ARQ84768@H,1
382,ANU06084@H,1
383,APF29071@H,1
384,AXN73481@H,1
385,AXN73470@H,1
386,AXN73492@H,1
387,ARQ84757@H,1
388,AXN73503@H,1
389,ARQ84746@H,1
390,AXN73370@H,1
391,AYJ71470@H,1
392,AVV61900@H,1
393,AXN73381@H,1
394,AYJ71481@H,1
395,ANF29217@H,1
396,ANF29228@H,1
397,AXN73514@H,1
398,ANF29173@H,1
399,ANF29184@H,1
400,ANF29195@H,1
401,ANF29206@H,1
402,ANF29162@H,1
403,AVR40342@H,1
404,ANF29239@H,1
405,ANF29250@H,1
406,ANF29261@H,1
407,ANF29272@H,1
408,AST12964@H,1
409,ATG84679@H,1
410,ATG84690@H,1
411,ATG84701@H,1
412,AVQ05264@H,1
413,ATG84712@H,1
414,ATG84756@H,1
415,ATG84723@H,1
416,ATG84745@H,1
417,ATG84734@H,1
418,ATG84888@H,1
419,ATG84789@H,1
420,ATG84800@H,1
421,ATG84778@H,1
422,AXN73525@H,1
423,ATG84767@H,1
424,ATG84822@H,1
425,ATG84833@H,1
426,ATG84844@H,1
427,ATG84855@H,1
428,ATG84811@H,1
429,AWM99582@H,1
430,ATG84877@H,1
431,ATG84866@H,1
432,AXG21654@H,1
433,AWU59321@H,1
434,AWW13566@H,1
435,AWW13575@H,1
436,AZP73840@H,1
437,ATG84921@H,1
438,ATN39872@H,1
439,ATG84910@H,1
440,AVR40344@H,1
441,ATG84899@H,1
442,AXG21665@H,1
443,AXN92228@H,1
444,AXN92260@H,1
445,AYV99747@H,1
446,AYV99761@H,1
447,AYV99775@H,1
448,AYV99789@H,1
449,AYV99803@H,1
450,AVK87318@H,1
451,AYV99817@H,1
452,AVK87329@H,1
453,AVK87340@H,1
454,AXN73359@H,1
455,AXN92238@H,1
456,AVK87351@H,1
457,AYN64561@H,1
458,AXN92249@H,1
459,AVK87362@H,1
460,AVK87373@H,1
461,AVK87384@H,1
462,AVK87450@H,1
463,AVK87406@H,1
464,AVK87395@H,1
465,AVK87461@H,1
466,AVK87439@H,1
467,AVK87417@H,1
468,AVK87428@H,1
469,QBF80455@H,1
470,QBF80466@H,1
471,QBF80477@H,1
472,QBF80488@H,1
473,QDH43719@H,1
474,QBF80499@H,1
475,QBF80510@H,1
476,QBF80521@H,1
477,QBF80532@H,1
478,QED88019@H,1
479,QBF80543@H,1
480,QED88040@H,1
481,QBF80554@H,1
482,QED88026@H,1
483,QED88012@H,1
484,QBF80611@H,1
485,AYM48030@H,1
486,QBF80565@H,1
487,QBF80576@H,1
488,QED88033@H,1
489,QBF80598@H,1
490,QBF80587@H,1
491,AZK15900@H,1
492,QEJ82215@H,1
493,QEJ82226@H,1
494,QDP16195@H,1
495,QDP16206@H,1
496,YP_009724390@H,1
497,QHD43416@H,1
498,QHO62112@H,1
499,QHO62107@H,1
500,QHO62877@H,1
501,QHQ71973@H,1
502,QHQ82464@H,1
503,QHQ71963@H,1
504,YP_173238@H,1
505,AAT98580@H,1
506,AAP41037@H,1
507,ADP06504@N,0
508,ADP06515@N,0
509,ABG89335@N,0
510,ADV71797@N,0
511,ADV71810@N,0
512,ADV71772@N,0
513,ADV71785@N,0
514,ACQ55230@N,0
515,ADV71822@N,0
516,ADA83537@N,0
517,ADA83497@N,0
518,ADV71760@N,0
519,AFX81091@N,0
520,ADA83507@N,0
521,ADA83547@N,0
522,ACN71196@N,0
523,AEQ61968@N,0
524,AFX81098@N,0
525,AFX81108@N,0
526,ADA83557@N,0
527,AXB38894@N,0
528,ADP06459@N,0
529,ADP06471@N,0
530,ABG89288@N,0
531,ADA83517@N,0
532,ALH21111@N,0
533,ADA83567@N,0
534,AGK85499@N,0
535,AEQ55004@N,0
536,ABG89306@N,0
537,ASV64286@N,0
538,AFQ31010@N,0
539,ADV71734@N,0
540,ADA83527@N,0
541,ADV71747@N,0
542,ACV87265@N,0
543,QHB80054@N,0
544,ADA83477@N,0
545,AXR85432@N,0
546,ACH72794@N,0
547,AFQ94231@N,0
548,APY26728@N,0
549,ADP06481@N,0
550,ADP06492@N,0
551,ACV87276@N,0
552,ALS35469@N,0
553,AQY55830@N,0
554,ACV87254@N,0
555,AFQ94240@N,0
556,ARS22410@N,0
557,APY23479@N,0
558,ACV87236@N,0
559,ADA83490@N,0
560,AKZ66476@N,0
561,AKV63205@N,0
562,APY26745@N,0
563,ADI54955@N,0
564,APZ73706@N,0
565,ARS22420@N,0
566,ARB66180@N,0
567,APY23533@N,0
568,AEJ80238@N,0
569,AKA65829@N,0
570,APU51838@N,0
571,ARS22460@N,0
572,APY23542@N,0
573,ACU31032@N,0
574,ADA83467@N,0
575,AFE48795@N,0
576,YP_005454245@N,0
577,QAT77248@N,0
578,ARB66117@N,0
579,ARB66135@N,0
580,AQY55803@N,0
581,APY23524@N,0
582,APY23569@N,0
583,ADI54945@N,0
584,AFE48805@N,0
585,AFE48817@N,0
586,AFE48827@N,0
587,AFD29201@N,0
588,AFD29209@N,0
589,AFD29217@N,0
590,AFD29226@N,0
591,AFD29244@N,0
592,YP_005352863@N,0
593,YP_005352846@N,0
594,YP_005352854@N,0
595,YP_005352838@N,0
596,YP_005352881@N,0
597,ARS22400@N,0
598,ARB66162@N,0
599,APY23623@N,0
600,APZ73843@N,0
601,ADK66841@N,0
602,AFW97360@N,0
603,AFQ31000@N,0
604,AFI49431@N,0
605,AEK31974@N,0
606,AEK31975@N,0
607,AEK31976@N,0
608,AEK31977@N,0
609,AEK31978@N,0
610,AEK31979@N,0
611,AEK31980@N,0
612,AEK31981@N,0
613,AEK31982@N,0
614,AEK31983@N,0
615,AEK31984@N,0
616,AFD29234@N,0
617,AGG55745@N,0
618,ALQ43515@N,0
619,YP_005352871@N,0
620,APY26781@N,0
621,AOC59723@N,0
622,APZ73652@N,0
623,YP_003858584@N,0
624,AMO03292@N,0
625,ARS22430@N,0
626,APY23551@N,0
627,APY23578@N,0
628,APY23587@N,0
629,APY26710@N,0
630,AGC01542@N,0
631,AFE85962@N,0
632,ADY62552@N,0
633,AHB78800@N,0
634,AFD29187@N,0
635,AJR29313@N,0
636,ASM61960@N,0
637,APY26843@N,0
638,AQD20683@N,0
639,AQD20728@N,0
640,ANO81443@N,0
641,ARS22450@N,0
642,ARB66108@N,0
643,ARB66189@N,0
644,APY23596@N,0
645,AFA51944@N,0
646,AFJ11176@N,0
647,ADY62542@N,0
648,AEP84736@N,0
649,AEP84746@N,0
650,AFD29194@N,0
651,AKG92640@N,0
652,APY26789@N,0
653,APY26798@N,0
654,AQD20674@N,0
655,AQD20692@N,0
656,AQD20701@N,0
657,APZ73760@N,0
658,YP_009513021@N,0
659,AZF86130@N,0
660,YP_009256197@N,0
661,ARS22440@N,0
662,AQY55893@N,0
663,ARB66126@N,0
664,ARB66198@N,0
665,AQY55848@N,0
666,AQY55812@N,0
667,AQY55821@N,0
668,AQY55884@N,0
669,ANI87711@N,0
670,AUM60014@N,0
671,AFB74177@N,0
672,AFB74178@N,0
673,AFB74179@N,0
674,AFB74180@N,0
675,AFB74181@N,0
676,AFB74182@N,0
677,AIG54283@N,0
678,AHX37558@N,0
679,AGY29650@N,0
680,AFU35747@N,0
681,AFU35750@N,0
682,AGC74176@N,0
683,AGZ84516@N,0
684,AGZ84526@N,0
685,AGZ84536@N,0
686,AGE13891@N,0
687,AJT47878@N,0
688,AJT47887@N,0
689,AJT47896@N,0
690,AJT47941@N,0
691,AJT47959@N,0
692,AIA62200@N,0
693,AIA62246@N,0
694,ALC78738@N,0
695,ASM61973@N,0
696,AUM60024@N,0
697,AZF86118@N,0
698,APY26736@N,0
699,APY26754@N,0
700,APY26763@N,0
701,APW85767@N,0
702,AQD20710@N,0
703,QDA76273@N,0
704,AZA07860@N,0
705,QDA76282@N,0
706,YP_009199609@N,0
707,AMZ01557@N,0
708,ARO76382@N,0
709,AQY03959@N,0
710,AQY55839@N,0
711,AMB66488@N,0
712,AFP36389@N,0
713,AGZ20168@N,0
714,AGX27799@N,0
715,AGX27810@N,0
716,AFU35748@N,0
717,AFU35749@N,0
718,AFU35751@N,0
719,AFU35752@N,0
720,AFU35753@N,0
721,AFU35754@N,0
722,AGG55750@N,0
723,AJT47869@N,0
724,AJP16721@N,0
725,AIA62206@N,0
726,AIA62212@N,0
727,AIA62227@N,0
728,AIA62259@N,0
729,AIA62277@N,0
730,AIA62352@N,0
731,ALE71331@N,0
732,AKQ63083@N,0
733,ATJ01093@N,0
734,AVI69519@N,0
735,YP_009200735@N,0
736,ARI44809@N,0
737,APY26852@N,0
738,APY26861@N,0
739,AQD20719@N,0
740,YP_009513010@N,0
741,AQK38168@N,0
742,AQY03968@N,0
743,APX44047@N,0
744,APY23497@N,0
745,APY23506@N,0
746,APY23515@N,0
747,AQY55866@N,0
748,AVX27612@N,0
749,AMD11130@N,0
750,AMD11142@N,0
751,AMD11153@N,0
752,AMD11164@N,0
753,AMD11175@N,0
754,AMD11186@N,0
755,AMD11197@N,0
756,AMD11208@N,0
757,AMD11219@N,0
758,AMD11230@N,0
759,AIM47748@N,0
760,APU57645@N,0
761,AGY31028@N,0
762,AGY31034@N,0
763,AJT47842@N,0
764,AJT47914@N,0
765,AJT47923@N,0
766,AJT47932@N,0
767,AJT47950@N,0
768,AJP16730@N,0
769,AJP16739@N,0
770,AJH76957@N,0
771,AKJ66253@N,0
772,AIA62220@N,0
773,AIA62234@N,0
774,AIA62252@N,0
775,AIA62265@N,0
776,AIA62271@N,0
777,AIA62290@N,0
778,AIA62300@N,0
779,AIA62310@N,0
780,AIA62320@N,0
781,AIA62330@N,0
782,AIA62343@N,0
783,AHL18090@N,0
784,QDI73610@N,0
785,AIY51828@N,0
786,ALC78747@N,0
787,AIF73529@N,0
788,AIF73535@N,0
789,AIF73541@N,0
790,AXQ05191@N,0
791,YP_009336484@N,0
792,ATJ01103@N,0
793,YP_009199790@N,0
794,ARI44804@N,0
795,ARI44789@N,0
796,ARI44794@N,0
797,ARI44799@N,0
798,APY26807@N,0
799,ANY59000@N,0
800,APZ73661@N,0
801,APZ73697@N,0
802,APZ73724@N,0
803,APZ73742@N,0
804,APZ73751@N,0
805,APZ73778@N,0
806,AXQ05201@N,0
807,QDA76327@N,0
808,YP_009201730@N,0
809,ANO81454@N,0
810,ASY91956@N,0
811,ASY91957@N,0
812,ARB66144@N,0
813,APX44038@N,0
814,APX44056@N,0
815,AQY55875@N,0
816,AQT26498@N,0
817,AQY55857@N,0
818,APZ73816@N,0
819,AKS25225@N,0
820,AKS25234@N,0
821,AKS25243@N,0
822,AKS25252@N,0
823,AJT47851@N,0
824,AJT47860@N,0
825,AJT47905@N,0
826,AJP16712@N,0
827,AKF17724@N,0
828,AHY04230@N,0
829,AOI28259@N,0
830,AOI28267@N,0
831,AOI28275@N,0
832,AOI28283@N,0
833,AOI28291@N,0
834,AUG59156@N,0
835,AUG59164@N,0
836,ARS23152@N,0
837,ARS23139@N,0
838,AUV64572@N,0
839,AQY61323@N,0
840,AQY61305@N,0
841,AQY61314@N,0
842,ASR75145@N,0
843,QDA76336@N,0
844,AVI15044@N,0
845,AVI15033@N,0
846,AVI15022@N,0
847,APZ73769@N,0
848,QDY92469@N,0
849,QDY92475@N,0
850,AVI15000@N,0
851,AVI15011@N,0
852,AZN28593@N,0
853,AYA44731@N,0
854,AYA44691@N,0
855,QAA92377@N,0
856,QCC20713@N,0
857,QEH60463@N,0
858,API61790@N,0
859,APQ31244@N,0
860,ASR18938@N,0
861,ASR18946@N,0
862,AMD40263@N,0
863,AOG74789@N,0
864,ATY72312@N,0
865,ATY72306@N,0
866,ASR75139@N,0
867,ATI09437@N,0
868,YP_009389425@N,0
869,APY26772@N,0
870,APZ73715@N,0
871,QAA92387@N,0
872,AYA44701@N,0
873,AZF86124@N,0
874,AYF53093@N,0
875,APG38198@N,0
876,APR64495@N,0
877,AQS99154@N,0
878,QGR15739@N,0
879,AVR48519@N,0
880,AQY61369@N,0
881,AVY53336@N,0
882,QEI10561@N,0
883,AZP23930@N,0
884,AZA07514@N,0
885,ARJ35791@N,0
886,ARJ35789@N,0
887,QCT24237@N,0
888,QDA76291@N,0
889,AZP23949@N,0
890,AYA44721@N,0
891,AYA44711@N,0
892,QDA76246@N,0
893,QDA76237@N,0
894,QCX41896@N,0
895,AYU65233@N,0
896,QGM12429@N,0
897,QGM12416@N,0
898,QGM12391@N,0
899,QGM12378@N,0
900,QGM12404@N,0
901,ATN23889@N,0
902,AVM80632@N,0
903,AVM80596@N,0
904,AVM80677@N,0
905,AVM80650@N,0
906,AVM80560@N,0
907,AVM80713@N,0
908,AVM80524@N,0
909,AVM80722@N,0
910,AVM80533@N,0
911,AVM80749@N,0
912,AVI69453@N,0
913,AVM80695@N,0
914,AVM80614@N,0
915,AVM80704@N,0
916,AVM80668@N,0
917,AVM80605@N,0
918,AVM80659@N,0
919,AVM80587@N,0
920,AVM80641@N,0
921,AVM80758@N,0
922,AVM80551@N,0
923,AVM80740@N,0
924,AVM80569@N,0
925,AVM80776@N,0
926,AVM80731@N,0
927,AVM80767@N,0
928,AVM80623@N,0
929,AVM80686@N,0
930,AVM80578@N,0
931,AVM80542@N,0
932,AZA07833@N,0
933,AVZ61082@N,0
934,QDA76255@N,0
935,AWV67125@N,0
936,AWV67116@N,0
937,AWV67107@N,0
938,AWV67134@N,0
939,AZA07824@N,0
940,QDA76300@N,0
941,QDA76228@N,0
942,QDA76219@N,0
943,AZA07842@N,0
944,AZU96327@N,0
945,AZA07856@N,0
946,QDA76264@N,0
947,QGX41969@N,0
948,QGX41945@N,0
949,QGX41957@N,0
950,QGX41963@N,0
951,QGX41951@N,0
952,QCC26602@N,0
953,QEH62669@N,0
954,QCC26595@N,0
955,QDY92481@N,0
956,QCC26581@N,0
957,QCC26588@N,0
958,AFO11507@N,0
959,AFO11517@N,0
960,ALJ77587@N,0
961,ALJ77588@N,0
962,QDQ69095@N,0
963,QDQ69121@N,0
964,QDQ69108@N,0
965,ACT10948@N,0
966,ACJ66946@N,0
967,ACJ66961@N,0
968,ACJ66971@N,0
969,ACJ66977@N,0
970,ACJ66990@N,0
971,ACJ67000@N,0
972,ACJ67012@N,0
973,ACT11019@N,0
974,ACT10983@N,0
975,QDQ69134@N,0
976,QDQ69147@N,0
977,ADI80513@N,0
978,ADI80523@N,0
979,YP_009019182@N,0
980,AML22777@N,0
981,ACT10959@N,0
982,ACT11007@N,0
983,ACT10995@N,0
984,ASW30994@N,0
985,APV46148@N,0
986,ACT10854@N,0
987,ACH72804@N,0
988,AFD56973@N,0
989,AFK10254@N,0
990,ABA02260@N,0
991,AEO86768@N,0
992,AEO88934@N,0
993,AKC54428@N,0
994,QDQ69160@N,0
995,AEB00706@N,0
996,AFU92104@N,0
997,AFU92113@N,0
998,YP_006908642@N,0
999,AFU92095@N,0
1000,ADM33558@N,0
1001,ADM33566@N,0
1002,ACN89689@N,0
1003,ADM33574@N,0
1004,ADM33582@N,0
1005,APV46102@N,0
1006,AGT21333@N,0
1007,YP_008439202@N,0
1008,AFU92086@N,0
1009,ASV64295@N,0
1010,ASV64304@N,0
1011,AFU92070@N,0
1012,AFU92078@N,0
1013,ASV64277@N,0
1014,ACJ12035@N,0
1015,ACJ12044@N,0
1016,ACJ12053@N,0
1017,YP_002308497@N,0
1018,YP_002308479@N,0
1019,APV46094@N,0
1020,ACT10887@N,0
1021,ASV64313@N,0
1022,ASV64322@N,0
1023,ASV64331@N,0
1024,ACT10906@N,0
1025,ACJ12062@N,0
1026,YP_002308506@N,0
1027,ACT10876@N,0
1028,AEL12221@N,0
1029,ACT10896@N,0
1030,ACT10970@N,0
1031,ACT10865@N,0
1032,ACT10937@N,0
1033,ACT10927@N,0
1034,ACT10916@N,0
1035,ADL71446@N,0
1036,ADL71455@N,0
1037,APO40579@N,0
1038,ADO39828@N,0
1039,ADO39839@N,0
1040,AEB00715@N,0
1041,ACZ71782@N,0
1042,ACS44218@N,0
1043,ADL71466@N,0
1044,ADL71497@N,0
1045,ADC35461@N,0
1046,ADC35472@N,0
1047,ACZ71752@N,0
1048,ACZ71811@N,0
1049,ACZ71931@N,0
1050,ACZ71767@N,0
1051,AHB73999@N,0
1052,ADC35511@N,0
1053,ADL71476@N,0
1054,ADO39817@N,0
1055,ADO39850@N,0
1056,ADL71486@N,0
1057,ASV64340@N,0
1058,ACZ71797@N,0
1059,ACZ71826@N,0
1060,ACZ71841@N,0
1061,ACZ71856@N,0
1062,ACZ71871@N,0
1063,ACZ71886@N,0
1064,ACZ71901@N,0
1065,ACZ71916@N,0
1066,ACZ71946@N,0
1067,ACZ71976@N,0
1068,ACZ72020@N,0
1069,ACZ72050@N,0
1070,ACZ72065@N,0
1071,ACZ72093@N,0
1072,ACZ72180@N,0
1073,ASV64367@N,0
1074,ASV64349@N,0
1075,ASV64358@N,0
1076,AHI85760@N,0
1077,AKN20490@N,0
1078,APD51491@N,0
1079,ACZ71961@N,0
1080,ACZ72108@N,0
1081,ACZ72166@N,0
1082,ACZ72195@N,0
1083,ACZ72254@N,0
1084,AEA10788@N,0
1085,AEA10803@N,0
1086,AEA10818@N,0
1087,AEA10833@N,0
1088,AUF40275@N,0
1089,AEA10518@N,0
1090,AEA10533@N,0
1091,AEA10548@N,0
1092,AEA10563@N,0
1093,AEA10578@N,0
1094,AEA10638@N,0
1095,AEA10653@N,0
1096,AEA10668@N,0
1097,AEA10683@N,0
1098,AEA10698@N,0
1099,AEA10743@N,0
1100,AEA10758@N,0
1101,AEA10773@N,0
1102,AEA10593@N,0
1103,AEA10608@N,0
1104,AEA10923@N,0
1105,AEA10938@N,0
1106,AEA10953@N,0
1107,AEA10968@N,0
1108,AEA10983@N,0
1109,AEA10398@N,0
1110,AEA10413@N,0
1111,AEA10428@N,0
1112,AEA10443@N,0
1113,AEA10458@N,0
1114,AEA10623@N,0
1115,AEA10713@N,0
1116,AEA10728@N,0
1117,AEA10848@N,0
1118,AEA10863@N,0
1119,AEA10878@N,0
1120,AEA10893@N,0
1121,AEA10908@N,0
1122,AEA10473@N,0
1123,AEA10488@N,0
1124,AEA10503@N,0
1125,ADB28907@N,0
1126,ACZ72005@N,0
1127,ACZ72035@N,0
1128,ACZ72078@N,0
1129,ACZ72136@N,0
1130,ACZ72210@N,0
1131,ACZ72225@N,0
1132,ACZ72269@N,0
1133,ACZ71991@N,0
1134,ACZ72122@N,0
1135,ACZ72151@N,0
1136,ACZ72240@N,0
1137,AYG86347@N,0
1138,ACZ72284@N,0
1139,AFM43867@N,0
1140,ALR84908@N,0
1141,APZ73679@N,0
1142,AEA10998@N,0
1143,AEA11013@N,0
1144,AGT20898@N,0
1145,AGT21063@N,0
1146,AGT21093@N,0
